Size,Repetition,AVL_Time_us,Treap_Time_us
16384,14,0.686,1.119
16384,15,1.287,0.677
16384,16,0.280,0.366
16384,17,0.283,0.278
16384,18,0.286,0.334
16384,19,0.255,0.324
16384,20,0.277,0.279
16384,21,0.347,0.339
16384,22,0.252,0.378
16384,23,0.278,0.273
16384,24,0.274,0.329
16384,25,0.291,0.319
16384,26,0.293,0.299
16384,27,0.277,0.397
16384,28,0.714,0.342
16384,29,0.296,0.298
16384,30,0.330,0.364
16384,31,0.275,0.374
16384,32,0.300,0.314
16384,33,0.270,0.394
16384,34,0.407,0.343
16384,35,0.277,0.284
16384,36,0.379,0.294
16384,37,0.453,0.458
16384,38,0.358,0.433
16384,39,0.288,0.335
16384,40,0.628,0.330
16384,41,0.258,0.343
16384,42,0.269,0.283
16384,43,0.284,0.341
16384,44,0.345,0.308
16384,45,0.349,0.481
16384,46,0.572,0.338
16384,47,0.269,0.304
16384,48,0.304,0.373
16384,49,0.660,0.601
16384,50,1.097,0.569
32768,1,1.081,0.429
32768,2,0.378,1.137
32768,3,0.400,0.393
32768,4,0.396,0.444
32768,5,0.351,0.432
32768,6,0.376,0.533
32768,7,0.288,0.370
32768,8,0.325,0.360
32768,9,0.345,0.692
32768,10,0.658,0.633
32768,11,0.333,0.405
32768,12,0.335,0.382
32768,13,0.439,0.672
32768,14,0.677,0.587
32768,15,3.254,0.359
32768,16,0.445,0.591
32768,17,0.361,0.419
32768,18,0.580,0.357
32768,19,0.329,0.373
32768,20,0.354,0.392
32768,21,0.429,0.496
32768,22,0.365,0.380
32768,23,0.341,0.361
32768,24,0.335,0.353
32768,25,0.333,0.391
32768,26,0.295,0.367
32768,27,0.353,0.435
32768,28,0.342,0.380
32768,29,0.384,0.460
32768,30,0.356,0.436
32768,31,0.753,0.497
32768,32,0.489,0.470
32768,33,0.460,0.576
32768,34,0.322,0.608
32768,35,0.320,0.580
32768,36,0.536,0.358
32768,37,0.469,0.400
32768,38,0.381,0.473
32768,39,0.321,0.355
32768,40,0.359,0.988
