from,to,weight
36,48,1
32,47,1
30,14,1
10,39,1
50,30,1
44,2,1
10,23,1
26,29,1
39,2,1
47,12,1
3,38,2
43,7,2
18,38,2
11,18,2
16,11,2
11,15,2
35,33,2
13,37,2
40,45,2
28,3,3
24,42,3
48,20,3
28,47,3
15,23,3
29,23,3
10,33,3
7,17,3
5,22,3
33,21,3
11,8,3
30,34,3
27,24,3
42,44,3
32,30,3
20,44,3
48,22,3
9,23,4
31,41,4
3,7,4
1,46,4
19,50,4
6,39,4
19,45,4
41,44,4
1,18,5
46,25,5
32,4,5
15,49,5
37,43,8
