Size,Repetition,AVL_Time_us,Treap_Time_us
16384,14,0.339,0.355
16384,15,0.289,0.325
16384,16,0.441,0.557
16384,17,0.273,0.299
16384,18,0.274,0.279
16384,19,0.269,0.340
16384,20,0.259,0.555
16384,21,0.294,0.289
16384,22,0.274,0.364
16384,23,0.247,0.350
16384,24,0.342,0.297
16384,25,0.360,0.413
16384,26,0.286,0.405
16384,27,0.306,0.286
16384,28,0.602,0.371
16384,29,0.265,0.319
16384,30,0.332,0.291
16384,31,0.294,0.382
16384,32,0.252,0.308
16384,33,0.285,0.299
16384,34,0.274,0.328
16384,35,0.281,0.435
16384,36,0.281,0.315
16384,37,0.290,0.276
16384,38,0.278,0.334
16384,39,0.236,0.296
16384,40,0.314,0.556
16384,41,0.570,0.666
16384,42,0.520,1.783
16384,43,0.357,0.259
16384,44,0.318,1.394
16384,45,0.514,0.290
16384,46,0.272,0.282
16384,47,0.570,0.349
16384,48,0.253,0.321
16384,49,0.298,0.287
16384,50,0.274,0.346
32768,1,0.326,0.386
32768,2,0.360,0.677
32768,3,0.402,0.407
32768,4,0.376,0.428
32768,5,0.338,0.379
32768,6,0.333,0.402
32768,7,0.355,0.355
32768,8,1.435,0.461
32768,9,0.764,0.777
32768,10,0.392,0.429
32768,11,0.367,0.425
32768,12,4.559,0.399
32768,13,0.330,0.342
32768,14,0.356,0.998
32768,15,0.285,0.964
32768,16,0.358,0.354
32768,17,2.183,0.391
32768,18,0.360,0.830
32768,19,0.342,0.360
32768,20,0.356,0.384
32768,21,0.300,0.374
32768,22,0.349,0.358
32768,23,0.325,0.385
32768,24,0.377,0.351
32768,25,0.347,0.649
32768,26,0.354,0.339
32768,27,0.325,0.349
32768,28,0.704,0.381
32768,29,0.377,0.405
32768,30,0.596,0.373
32768,31,0.326,1.608
32768,32,0.616,0.341
32768,33,0.426,0.574
32768,34,0.413,0.633
32768,35,0.273,1.298
32768,36,0.324,0.358
32768,37,0.335,0.401
32768,38,0.298,0.349
32768,39,0.401,0.395
32768,40,0.284,0.663
32768,41,0.329,0.350
32768,42,0.325,0.380
32768,43,0.649,1.549
32768,44,0.336,0.362
32768,45,0.327,0.404
32768,46,0.323,0.339
32768,47,0.371,0.359
32768,48,0.329,0.377
32768,49,0.276,0.351
32768,50,0.333,0.423
65536,1,0.323,1.122
65536,2,0.674,0.473
65536,3,0.874,0.501
65536,4,1.025,0.630
65536,5,0.423,0.409
65536,6,0.318,1.086
65536,7,0.414,0.508
65536,8,0.399,0.517
65536,9,0.361,0.424
65536,10,0.413,0.438
65536,11,0.377,0.725
65536,12,0.332,0.438
65536,13,0.917,0.435
65536,14,0.512,0.990
65536,15,0.433,1.663
65536,16,1.698,0.449
65536,17,0.334,0.783
65536,18,0.332,0.528
65536,19,1.784,0.550
65536,20,0.510,0.484
65536,21,0.562,0.425
65536,22,0.380,1.638
65536,23,0.351,0.526
65536,24,0.788,0.582
65536,25,0.432,0.927
65536,26,0.423,0.416
65536,27,1.048,0.423
65536,28,0.662,0.457
65536,29,0.445,0.434
65536,30,1.026,1.023
65536,31,0.590,0.450
65536,32,0.378,0.529
65536,33,0.341,0.420
65536,34,0.529,0.415
65536,35,0.332,0.449
65536,36,1.090,0.533
65536,37,0.987,0.470
65536,38,0.555,0.479
65536,39,0.997,0.438
65536,40,1.859,0.433
65536,41,0.370,0.434
65536,42,0.333,0.477
65536,43,1.081,0.434
65536,44,0.403,0.488
65536,45,1.530,0.483
65536,46,0.365,0.449
65536,47,0.362,0.433
65536,48,0.340,0.804
65536,49,0.592,0.480
65536,50,0.638,0.432
131072,1,0.786,1.238
131072,2,0.443,0.679
131072,3,0.887,1.548
131072,4,3.566,0.631
131072,5,0.510,0.768
131072,6,0.901,0.939
131072,7,0.692,0.566
131072,8,0.405,0.516
131072,9,1.935,0.656
131072,10,0.454,0.534
131072,11,5.588,0.583
131072,12,0.385,0.903
131072,13,0.434,0.620
131072,14,0.515,0.672
131072,15,0.587,0.649
131072,16,0.401,0.880
131072,17,0.970,0.568
131072,18,0.687,0.947
131072,19,0.427,0.838
131072,20,0.788,0.650
131072,21,0.471,0.845
131072,22,0.450,0.621
131072,23,0.669,0.555
131072,24,0.400,1.143
131072,25,1.434,0.601
131072,26,0.405,2.467
131072,27,0.510,0.681
131072,28,1.853,0.838
131072,29,0.394,1.283
131072,30,0.447,1.297
131072,31,0.778,0.892
131072,32,0.667,0.646
131072,33,0.783,0.880
131072,34,0.930,2.160
131072,35,1.514,0.701
131072,36,0.651,1.256
131072,37,0.521,0.537
131072,38,0.401,1.463
131072,39,0.488,0.594
131072,40,1.093,0.647
131072,41,0.399,0.608
131072,42,0.376,0.779
131072,43,0.400,0.612
131072,44,0.687,0.638
131072,45,0.414,0.634
131072,46,1.234,0.697
131072,47,0.572,0.584
131072,48,0.506,1.667
131072,49,0.391,0.651
131072,50,0.412,0.613
262144,1,0.629,1.014
262144,2,0.859,0.877
262144,3,1.481,1.112
262144,4,0.806,2.713
262144,5,0.520,2.332
262144,6,0.913,0.944
262144,7,0.696,1.080
262144,8,0.647,0.936
262144,9,0.648,0.902
262144,10,0.495,0.837
262144,11,0.519,0.904
262144,12,0.596,1.545
262144,13,0.505,0.861
262144,14,0.992,0.961
262144,15,0.680,1.660
262144,16,0.575,3.228
262144,17,1.026,1.386
262144,18,0.658,1.168
262144,19,0.599,1.240
262144,20,0.878,0.967
262144,21,0.562,0.784
262144,22,0.790,0.910
262144,23,0.734,0.864
262144,24,1.214,2.799
262144,25,0.568,3.598
262144,26,0.546,1.954
262144,27,1.644,2.972
262144,28,0.538,3.052
262144,29,0.888,1.239
262144,30,1.612,2.494
262144,31,0.937,0.977
262144,32,0.498,0.832
262144,33,0.595,0.970
262144,34,0.615,1.980
262144,35,1.399,0.924
262144,36,1.423,1.017
262144,37,2.008,0.937
262144,38,0.584,1.639
262144,39,1.465,1.025
262144,40,0.574,0.849
262144,41,0.522,3.664
262144,42,0.844,1.233
262144,43,0.547,1.410
262144,44,0.538,1.065
262144,45,0.562,1.591
262144,46,0.777,1.085
262144,47,0.549,1.049
262144,48,0.544,1.023
262144,49,0.563,0.840
262144,50,0.725,1.070
