Size,Repetition,AVL_Time_us,Treap_Time_us
16384,14,0.735,1.312
16384,15,0.539,1.602
16384,16,0.526,1.675
16384,17,0.463,1.056
16384,18,0.507,1.182
16384,19,0.515,1.159
16384,20,0.503,1.336
16384,21,0.521,1.198
16384,22,0.540,1.198
16384,23,0.497,1.623
16384,24,0.676,1.337
16384,25,0.587,1.756
16384,26,0.521,1.302
16384,27,0.723,1.236
16384,28,1.197,1.193
16384,29,0.574,1.048
16384,30,0.667,1.265
16384,31,0.549,1.230
16384,32,0.523,1.066
16384,33,0.537,1.341
16384,34,0.532,3.404
16384,35,0.528,1.795
16384,36,0.547,1.205
16384,37,0.672,2.800
16384,38,0.532,1.128
16384,39,0.473,1.061
16384,40,0.532,2.234
16384,41,0.995,2.275
16384,42,0.844,4.392
16384,43,0.769,1.086
16384,44,0.587,4.852
16384,45,0.943,1.057
16384,46,0.513,1.176
16384,47,1.087,1.166
16384,48,0.491,1.042
16384,49,0.542,1.202
16384,50,0.550,1.087
32768,1,0.585,1.579
32768,2,0.677,2.664
32768,3,1.101,1.620
32768,4,0.641,1.770
32768,5,0.598,1.577
32768,6,0.629,1.613
32768,7,0.644,1.454
32768,8,2.808,1.763
32768,9,1.371,1.884
32768,10,0.646,2.063
32768,11,0.668,1.686
32768,12,0.761,3.004
32768,13,0.609,1.586
32768,14,0.637,3.066
32768,15,0.553,2.741
32768,16,0.625,1.623
32768,17,0.650,1.592
32768,18,0.610,2.884
32768,19,0.613,1.593
32768,20,0.621,1.603
32768,21,0.554,1.578
32768,22,0.649,1.601
32768,23,0.604,5.968
32768,24,0.661,1.597
32768,25,0.613,2.518
32768,26,0.626,3.094
32768,27,0.624,2.632
32768,28,1.272,1.571
32768,29,0.739,1.543
32768,30,1.037,1.578
32768,31,0.598,8.096
32768,32,1.157,2.980
32768,33,0.725,2.392
32768,34,0.620,2.010
32768,35,0.508,6.769
32768,36,0.577,1.578
32768,37,0.632,1.527
32768,38,0.595,1.486
32768,39,0.699,1.822
32768,40,0.540,2.828
32768,41,0.621,1.767
32768,42,0.576,1.588
32768,43,1.376,11.104
32768,44,0.602,1.610
32768,45,0.609,1.520
32768,46,1.146,1.565
32768,47,2.774,2.421
32768,48,0.621,1.715
32768,49,0.515,2.896
32768,50,0.612,1.948
65536,1,0.602,4.072
65536,2,1.274,1.746
65536,3,1.868,1.787
65536,4,2.920,2.223
65536,5,0.770,1.545
65536,6,0.600,8.887
65536,7,0.724,1.858
65536,8,0.753,1.706
65536,9,0.621,1.570
65536,10,0.747,1.745
65536,11,1.005,2.819
65536,12,0.612,1.713
65536,13,0.875,1.600
65536,14,1.006,3.392
65536,15,0.767,7.824
65536,16,2.712,1.682
65536,17,0.610,2.595
65536,18,0.610,1.669
65536,19,2.890,1.635
65536,20,0.910,2.340
65536,21,0.668,1.730
65536,22,0.839,4.913
65536,23,0.593,2.238
65536,24,1.207,2.852
65536,25,1.458,3.258
65536,26,0.908,1.614
65536,27,2.145,3.313
65536,28,0.746,3.095
65536,29,0.790,1.639
65536,30,2.154,2.746
65536,31,1.193,1.691
65536,32,0.661,1.604
65536,33,0.598,1.569
65536,34,0.671,1.523
65536,35,0.577,1.828
65536,36,2.079,1.806
65536,37,1.100,1.589
65536,38,0.971,1.729
65536,39,11.800,3.008
65536,40,3.385,1.684
65536,41,0.640,1.713
65536,42,0.592,2.173
65536,43,1.624,3.181
65536,44,0.701,3.993
65536,45,2.540,1.779
65536,46,0.773,1.727
65536,47,0.709,1.604
65536,48,0.618,3.183
65536,49,0.935,1.748
65536,50,1.114,1.703
131072,1,1.518,3.086
131072,2,0.936,2.072
131072,3,1.644,2.260
131072,4,4.067,2.231
131072,5,0.905,4.140
131072,6,1.519,3.368
131072,7,1.244,3.291
131072,8,0.713,1.810
131072,9,4.263,2.162
131072,10,0.789,1.883
131072,11,1.095,1.922
131072,12,0.704,1.938
131072,13,0.890,1.961
131072,14,0.878,2.002
131072,15,1.145,1.995
131072,16,0.758,2.836
131072,17,1.849,1.877
131072,18,1.319,4.546
131072,19,0.731,2.529
