Size,Repetition,AVL_Time_ms,Treap_Time_ms
8192,35,0.000479,0.000931
8192,36,0.000438,0.000978
8192,37,0.000429,0.000933
8192,38,0.000413,0.000820
8192,39,0.000452,0.000943
8192,40,0.000424,0.000786
8192,41,0.000410,0.001640
8192,42,0.000444,0.000979
8192,43,0.000477,0.000945
8192,44,0.001115,0.000943
8192,45,0.000764,0.000920
8192,46,0.000939,0.002871
8192,47,0.000405,0.000828
8192,48,0.000421,0.000839
8192,49,0.000409,0.000801
8192,50,0.000408,0.002087
16384,1,0.000514,0.001071
16384,2,0.000530,0.001087
16384,3,0.000629,0.000984
16384,4,0.000686,0.001279
16384,5,0.001123,0.001884
16384,6,0.000552,0.003667
16384,7,0.000982,0.001314
16384,8,0.000498,0.001001
16384,9,0.000515,0.001173
16384,10,0.000532,0.001225
16384,11,0.000561,0.000938
16384,12,0.000554,0.001332
16384,13,0.000497,0.001394
16384,14,0.000440,0.001134
16384,15,0.000524,0.001140
16384,16,0.000496,0.001079
16384,17,0.000469,0.000989
16384,18,0.000495,0.001148
16384,19,0.000480,0.001054
16384,20,0.000470,0.000958
16384,21,0.000512,0.002808
16384,22,0.000493,0.001018
16384,23,0.000482,0.001308
16384,24,0.000670,0.001065
16384,25,0.000521,0.001359
16384,26,0.000490,0.001157
16384,27,0.000506,0.002407
16384,28,0.000516,0.001116
16384,29,0.000667,0.000971
16384,30,0.000541,0.002736
16384,31,0.000727,0.001087
16384,32,0.000476,0.000975
16384,33,0.000501,0.001154
16384,34,0.000521,0.001296
16384,35,0.000526,0.001718
16384,36,0.000535,0.000953
16384,37,0.000507,0.001073
16384,38,0.000524,0.001007
16384,39,0.000478,0.000959
16384,40,0.000503,0.004378
16384,41,0.001308,0.002590
16384,42,0.002069,0.004500
16384,43,0.000810,0.002100
16384,44,0.000546,0.002282
16384,45,0.000840,0.000991
16384,46,0.000483,0.003242
16384,47,0.001018,0.001084
16384,48,0.000464,0.001001
16384,49,0.000525,0.001059
16384,50,0.000496,0.001039
32768,1,0.000564,0.001526
32768,2,0.000648,0.002344
32768,3,0.000807,0.001588
32768,4,0.000620,0.004642
32768,5,0.000604,0.001518
32768,6,0.000623,0.001543
32768,7,0.000758,0.001403
32768,8,0.002194,0.001600
32768,9,0.000814,0.001498
32768,10,0.000626,0.001521
32768,11,0.000645,0.001573
32768,12,0.000697,0.001918
32768,13,0.000618,0.001437
32768,14,0.000618,0.001725
32768,15,0.000548,0.006966
32768,16,0.000632,0.001539
32768,17,0.000734,0.001734
32768,18,0.000612,0.002154
32768,19,0.000606,0.001489
32768,20,0.000614,0.001484
32768,21,0.000580,0.002934
32768,22,0.000685,0.001594
32768,23,0.000617,0.001618
32768,24,0.000701,0.001451
32768,25,0.000612,0.001595
32768,26,0.000559,0.001478
32768,27,0.000598,0.002752
32768,28,0.000595,0.001470
32768,29,0.000836,0.001477
32768,30,0.001142,0.001529
32768,31,0.000589,0.007435
32768,32,0.001218,0.001458
32768,33,0.000726,0.001909
32768,34,0.000601,0.001512
32768,35,0.000530,0.010177
32768,36,0.000621,0.001521
32768,37,0.000643,0.001457
32768,38,0.000601,0.001384
32768,39,0.000688,0.001681
32768,40,0.000553,0.005538
32768,41,0.000610,0.001632
32768,42,0.000592,0.001484
32768,43,0.001151,0.004281
32768,44,0.000616,0.001676
32768,45,0.000623,0.001475
32768,46,0.001620,0.003944
32768,47,0.000796,0.002498
32768,48,0.000685,0.001555
32768,49,0.000538,0.001454
32768,50,0.000630,0.002410
65536,1,0.000589,0.004491
65536,2,0.001377,0.001642
65536,3,0.000670,0.001776
65536,4,0.001521,0.001683
65536,5,0.000723,0.001525
65536,6,0.000619,0.004804
65536,7,0.000730,0.002247
65536,8,0.000733,0.001556
65536,9,0.000593,0.002975
65536,10,0.000751,0.001768
65536,11,0.000610,0.002687
65536,12,0.000601,0.003031
65536,13,0.000876,0.003409
65536,14,0.001076,0.005664
65536,15,0.000775,0.006758
65536,16,0.004395,0.001656
65536,17,0.000631,0.002019
65536,18,0.000618,0.001671
65536,19,0.001346,0.001544
65536,20,0.000878,0.001716
65536,21,0.000675,0.001469
65536,22,0.000581,0.003655
65536,23,0.000585,0.003538
65536,24,0.000678,0.001695
65536,25,0.000881,0.002413
65536,26,0.000693,0.001512
65536,27,0.001856,0.001878
65536,28,0.000762,0.001658
65536,29,0.000785,0.001540
65536,30,0.002437,0.002560
65536,31,0.001293,0.001777
65536,32,0.000604,0.001427
65536,33,0.000615,0.001511
65536,34,0.000630,0.001504
65536,35,0.000603,0.003127
65536,36,0.001236,0.001738
65536,37,0.001756,0.001640
65536,38,0.000827,0.001513
65536,39,0.002595,0.001686
65536,40,0.003495,0.001597
65536,41,0.000606,0.001582
65536,42,0.000605,0.003629
65536,43,0.001685,0.001640
65536,44,0.000708,0.002280
65536,45,0.002242,0.001951
65536,46,0.000601,0.001620
65536,47,0.000662,0.001570
65536,48,0.000600,0.007184
65536,49,0.000850,0.001663
65536,50,0.000953,0.001577
131072,1,0.001770,0.002345
131072,2,0.000815,0.002316
131072,3,0.000781,0.002682
131072,4,0.002106,0.001732
131072,5,0.001042,0.001979
131072,6,0.002041,0.004668
131072,7,0.001373,0.001956
131072,8,0.000703,0.001850
131072,9,0.003040,0.002239
131072,10,0.000766,0.002007
131072,11,0.000994,0.001859
131072,12,0.000687,0.003830
131072,13,0.000755,0.002045
131072,14,0.000979,0.001864
131072,15,0.001284,0.001925
131072,16,0.000749,0.003878
131072,17,0.000840,0.001934
131072,18,0.001161,0.003388
131072,19,0.000715,0.002611
131072,20,0.001480,0.001864
131072,21,0.001356,0.002699
131072,22,0.000881,0.002170
131072,23,0.001075,0.001847
131072,24,0.000682,0.002373
131072,25,0.003077,0.001967
131072,26,0.000673,0.007293
131072,27,0.000782,0.001910
131072,28,0.003135,0.001878
131072,29,0.000750,0.002649
131072,30,0.000774,0.004188
131072,31,0.000828,0.002317
131072,32,0.001192,0.002050
131072,33,0.000918,0.004671
131072,34,0.002208,0.006409
131072,35,0.001522,0.001889
131072,36,0.000820,0.005592
131072,37,0.000771,0.001753
131072,38,0.000752,0.001966
131072,39,0.000780,0.001731
131072,40,0.001366,0.001934
131072,41,0.000756,0.002683
131072,42,0.000747,0.001913
131072,43,0.000689,0.001969
131072,44,0.001385,0.002692
131072,45,0.000904,0.002079
131072,46,0.000970,0.001962
131072,47,0.006477,0.001814
131072,48,0.000751,0.005729
131072,49,0.000756,0.002136
131072,50,0.000730,0.001856
262144,1,0.000947,0.002514
262144,2,0.003707,0.002875
262144,3,0.015065,0.002655
262144,4,0.008931,0.015264
262144,5,0.000934,0.008763
262144,6,0.000923,0.002858
262144,7,0.000967,0.003520
262144,8,0.001399,0.002724
262144,9,0.001218,0.002590
262144,10,0.000910,0.002542
262144,11,0.000976,0.005320
262144,12,0.001107,0.011281
262144,13,0.000912,0.002620
262144,14,0.001025,0.002606
262144,15,0.001341,0.002926
262144,16,0.001017,0.011272
262144,17,0.001105,0.002724
262144,18,0.001833,0.002759
262144,19,0.001080,0.002870
262144,20,0.002506,0.002529
262144,21,0.000985,0.002336
262144,22,0.001283,0.002652
262144,23,0.001469,0.002593
262144,24,0.001821,0.004678
262144,25,0.001070,0.008357
262144,26,0.000926,0.003734
262144,27,0.001680,0.003505
262144,28,0.000899,0.004700
262144,29,0.002052,0.002868
262144,30,0.003555,0.007480
262144,31,0.002173,0.002870
262144,32,0.000885,0.002488
262144,33,0.001037,0.004705
262144,34,0.001751,0.004966
262144,35,0.001966,0.002454
262144,36,0.002101,0.002760
262144,37,0.005075,0.002739
262144,38,0.001163,0.006369
262144,39,0.001395,0.003892
262144,40,0.000972,0.002442
262144,41,0.001014,0.005998
262144,42,0.001200,0.002638
262144,43,0.001071,0.002882
262144,44,0.000876,0.002772
262144,45,0.001006,0.003011
262144,46,0.000886,0.002593
262144,47,0.001047,0.006702
262144,48,0.000954,0.002659
262144,49,0.001029,0.002520
262144,50,0.001172,0.002875
