Size,Repetition,AVL_MaxDepth,Treap_MaxDepth
131072,26,20,40
131072,27,20,42
131072,28,20,47
131072,29,20,41
131072,30,20,40
131072,31,20,42
131072,32,20,39
131072,33,20,44
131072,34,20,43
131072,35,20,42
131072,36,20,39
131072,37,20,43
131072,38,20,41
131072,39,20,41
131072,40,20,40
131072,41,20,41
131072,42,20,45
131072,43,20,41
131072,44,20,44
131072,45,20,40
131072,46,20,43
131072,47,20,42
131072,48,20,40
131072,49,20,40
131072,50,20,41
262144,1,21,44
262144,2,21,44
262144,3,22,46
262144,4,21,43
262144,5,21,42
262144,6,21,44
262144,7,21,43
262144,8,21,43
262144,9,21,46
262144,10,21,47
262144,11,21,45
262144,12,21,49
262144,13,21,46
262144,14,21,46
262144,15,21,43
262144,16,21,43
262144,17,21,42
262144,18,21,47
262144,19,21,45
262144,20,21,43
262144,21,21,43
262144,22,21,47
262144,23,21,44
262144,24,21,46
262144,25,21,50
262144,26,21,42
262144,27,21,47
262144,28,21,45
262144,29,22,46
262144,30,21,42
262144,31,21,48
262144,32,21,44
262144,33,21,44
262144,34,21,44
262144,35,21,45
262144,36,21,43
262144,37,21,44
262144,38,22,43
262144,39,21,47
262144,40,21,44
262144,41,21,46
262144,42,21,43
262144,43,22,43
262144,44,21,44
262144,45,21,41
262144,46,21,48
262144,47,21,44
262144,48,21,44
262144,49,21,43
262144,50,21,48
