Size,DataType,Structure,Test,Time_ms
16384,random,AVL,7,9.283
16384,sorted,AVL,7,6.040
16384,random,BST,8,6.375
16384,random,AVL,8,7.723
16384,sorted,AVL,8,6.097
16384,random,BST,9,6.434
16384,random,AVL,9,8.733
16384,sorted,AVL,9,6.066
16384,random,BST,10,5.494
16384,random,AVL,10,8.299
16384,sorted,AVL,10,7.125
32768,random,BST,1,14.323
32768,random,AVL,1,19.126
32768,sorted,AVL,1,12.610
32768,random,BST,2,14.410
32768,random,AVL,2,19.206
32768,sorted,AVL,2,13.762
32768,random,BST,3,12.117
32768,random,AVL,3,18.206
32768,sorted,AVL,3,14.496
32768,random,BST,4,13.562
32768,random,AVL,4,22.396
32768,sorted,AVL,4,36.049
32768,random,BST,5,23.688
32768,random,AVL,5,27.421
32768,sorted,AVL,5,34.533
32768,random,BST,6,12.950
32768,random,AVL,6,16.698
32768,sorted,AVL,6,40.758
32768,random,BST,7,12.343
32768,random,AVL,7,16.550
32768,sorted,AVL,7,54.417
32768,random,BST,8,12.221
32768,random,AVL,8,33.192
32768,sorted,AVL,8,22.026
32768,random,BST,9,16.688
32768,random,AVL,9,31.263
32768,sorted,AVL,9,14.265
32768,random,BST,10,11.952
32768,random,AVL,10,16.583
32768,sorted,AVL,10,12.755
65536,random,BST,1,34.663
65536,random,AVL,1,44.566
65536,sorted,AVL,1,115.088
65536,random,BST,2,47.993
65536,random,AVL,2,53.367
65536,sorted,AVL,2,79.144
65536,random,BST,3,93.391
65536,random,AVL,3,44.357
65536,sorted,AVL,3,105.515
65536,random,BST,4,46.695
65536,random,AVL,4,41.984
65536,sorted,AVL,4,36.814
65536,random,BST,5,40.544
65536,random,AVL,5,44.271
65536,sorted,AVL,5,29.228
65536,random,BST,6,32.785
65536,random,AVL,6,46.917
65536,sorted,AVL,6,30.146
65536,random,BST,7,28.773
65536,random,AVL,7,39.037
65536,sorted,AVL,7,31.255
65536,random,BST,8,67.994
65536,random,AVL,8,72.825
65536,sorted,AVL,8,33.764
65536,random,BST,9,32.716
65536,random,AVL,9,109.959
65536,sorted,AVL,9,29.226
65536,random,BST,10,35.761
65536,random,AVL,10,44.413
65536,sorted,AVL,10,34.263
131072,random,BST,1,77.008
131072,random,AVL,1,87.729
131072,sorted,AVL,1,58.489
131072,random,BST,2,118.899
131072,random,AVL,2,108.436
131072,sorted,AVL,2,83.237
131072,random,BST,3,112.637
131072,random,AVL,3,108.870
131072,sorted,AVL,3,81.094
131072,random,BST,4,83.878
131072,random,AVL,4,94.319
131072,sorted,AVL,4,67.698
131072,random,BST,5,91.043
131072,random,AVL,5,94.206
131072,sorted,AVL,5,81.381
131072,random,BST,6,71.436
131072,random,AVL,6,108.107
131072,sorted,AVL,6,74.794
131072,random,BST,7,103.685
131072,random,AVL,7,174.566
131072,sorted,AVL,7,63.955
131072,random,BST,8,86.597
131072,random,AVL,8,102.451
131072,sorted,AVL,8,61.167
131072,random,BST,9,87.644
131072,random,AVL,9,206.776
131072,sorted,AVL,9,67.254
131072,random,BST,10,124.169
131072,random,AVL,10,175.217
131072,sorted,AVL,10,157.176
262144,random,BST,1,305.780
262144,random,AVL,1,407.268
262144,sorted,AVL,1,139.045
262144,random,BST,2,296.125
262144,random,AVL,2,251.291
262144,sorted,AVL,2,136.757
262144,random,BST,3,204.269
262144,random,AVL,3,240.011
262144,sorted,AVL,3,143.321
262144,random,BST,4,195.151
262144,random,AVL,4,300.429
262144,sorted,AVL,4,134.280
262144,random,BST,5,211.425
262144,random,AVL,5,282.510
262144,sorted,AVL,5,148.309
262144,random,BST,6,270.200
262144,random,AVL,6,235.261
262144,sorted,AVL,6,124.899
262144,random,BST,7,214.485
262144,random,AVL,7,339.373
262144,sorted,AVL,7,185.492
262144,random,BST,8,298.126
262144,random,AVL,8,269.655
262144,sorted,AVL,8,149.784
262144,random,BST,9,265.396
262144,random,AVL,9,285.498
262144,sorted,AVL,9,170.945
262144,random,BST,10,264.843
262144,random,AVL,10,277.785
262144,sorted,AVL,10,184.073
524288,random,BST,1,693.920
524288,random,AVL,1,766.610
524288,sorted,AVL,1,338.628
524288,random,BST,2,683.983
524288,random,AVL,2,641.395
524288,sorted,AVL,2,369.894
524288,random,BST,3,789.952
524288,random,AVL,3,933.515
524288,sorted,AVL,3,457.737
524288,random,BST,4,743.336
524288,random,AVL,4,667.208
524288,sorted,AVL,4,389.024
524288,random,BST,5,504.495
524288,random,AVL,5,881.774
524288,sorted,AVL,5,429.859
524288,random,BST,6,594.334
524288,random,AVL,6,767.168
524288,sorted,AVL,6,282.659
524288,random,BST,7,721.626
524288,random,AVL,7,892.073
524288,sorted,AVL,7,383.879
524288,random,BST,8,719.545
524288,random,AVL,8,701.597
524288,sorted,AVL,8,318.741
524288,random,BST,9,571.985
524288,random,AVL,9,689.921
524288,sorted,AVL,9,296.922
524288,random,BST,10,892.359
524288,random,AVL,10,713.261
524288,sorted,AVL,10,420.437
