Size,DataType,Structure,Test,Time_us
8192,random,AVL,1,0.278
8192,random,Array,1,7.905
8192,sorted,BST,1,60.327
8192,sorted,AVL,1,0.558
8192,sorted,Array,1,0.461
8192,random,BST,2,0.356
8192,random,AVL,2,0.262
8192,random,Array,2,6.138
8192,sorted,BST,2,74.629
8192,sorted,AVL,2,0.245
8192,sorted,Array,2,0.287
8192,random,BST,3,0.632
8192,random,AVL,3,0.315
8192,random,Array,3,6.219
8192,sorted,BST,3,57.645
8192,sorted,AVL,3,0.279
8192,sorted,Array,3,0.285
8192,random,BST,4,0.303
8192,random,AVL,4,0.562
8192,random,Array,4,6.109
8192,sorted,BST,4,82.327
8192,sorted,AVL,4,0.271
8192,sorted,Array,4,0.251
8192,random,BST,5,0.353
8192,random,AVL,5,0.283
8192,random,Array,5,6.710
8192,sorted,BST,5,201.945
8192,sorted,AVL,5,0.371
8192,sorted,Array,5,0.388
8192,random,BST,6,0.309
8192,random,AVL,6,0.289
8192,random,Array,6,6.095
8192,sorted,BST,6,68.751
8192,sorted,AVL,6,0.261
8192,sorted,Array,6,0.244
8192,random,BST,7,0.404
8192,random,AVL,7,0.291
8192,random,Array,7,6.124
8192,sorted,BST,7,47.309
8192,sorted,AVL,7,0.248
8192,sorted,Array,7,0.247
8192,random,BST,8,0.330
8192,random,AVL,8,0.323
8192,random,Array,8,6.033
8192,sorted,BST,8,72.984
8192,sorted,AVL,8,0.296
8192,sorted,Array,8,0.301
8192,random,BST,9,0.339
8192,random,AVL,9,0.273
8192,random,Array,9,6.842
8192,sorted,BST,9,59.037
8192,sorted,AVL,9,0.436
8192,sorted,Array,9,0.333
8192,random,BST,10,0.354
8192,random,AVL,10,0.286
8192,random,Array,10,6.392
8192,sorted,BST,10,45.019
8192,sorted,AVL,10,0.248
8192,sorted,Array,10,0.249
16384,random,BST,1,0.372
16384,random,AVL,1,0.350
16384,random,Array,1,15.454
16384,sorted,AVL,1,0.511
16384,sorted,Array,1,0.422
16384,random,BST,2,0.449
16384,random,AVL,2,0.343
16384,random,Array,2,12.286
16384,sorted,AVL,2,0.445
16384,sorted,Array,2,0.351
16384,random,BST,3,0.498
16384,random,AVL,3,0.326
16384,random,Array,3,12.273
16384,sorted,AVL,3,0.472
16384,sorted,Array,3,0.356
16384,random,BST,4,0.418
16384,random,AVL,4,0.454
16384,random,Array,4,14.200
16384,sorted,AVL,4,0.461
16384,sorted,Array,4,0.307
16384,random,BST,5,0.403
16384,random,AVL,5,0.331
16384,random,Array,5,11.918
16384,sorted,AVL,5,0.585
16384,sorted,Array,5,0.471
16384,random,BST,6,0.634
16384,random,AVL,6,0.515
16384,random,Array,6,12.424
16384,sorted,AVL,6,0.419
16384,sorted,Array,6,0.389
16384,random,BST,7,0.391
16384,random,AVL,7,0.494
16384,random,Array,7,12.116
16384,sorted,AVL,7,0.519
16384,sorted,Array,7,0.397
16384,random,BST,8,0.468
16384,random,AVL,8,0.402
16384,random,Array,8,13.345
16384,sorted,AVL,8,0.439
16384,sorted,Array,8,0.306
16384,random,BST,9,0.323
16384,random,AVL,9,0.279
16384,random,Array,9,12.286
16384,sorted,AVL,9,0.447
16384,sorted,Array,9,0.308
16384,random,BST,10,0.370
16384,random,AVL,10,0.913
16384,random,Array,10,13.267
16384,sorted,AVL,10,0.397
16384,sorted,Array,10,0.329
32768,random,BST,1,0.559
32768,random,AVL,1,2.981
32768,random,Array,1,27.791
32768,sorted,AVL,1,0.446
32768,sorted,Array,1,0.308
32768,random,BST,2,0.523
32768,random,AVL,2,1.060
32768,random,Array,2,32.785
32768,sorted,AVL,2,1.614
32768,sorted,Array,2,0.380
32768,random,BST,3,0.449
32768,random,AVL,3,0.469
32768,random,Array,3,25.360
32768,sorted,AVL,3,1.209
32768,sorted,Array,3,0.464
32768,random,BST,4,0.452
32768,random,AVL,4,0.330
32768,random,Array,4,42.321
32768,sorted,AVL,4,2.129
32768,sorted,Array,4,1.757
32768,random,BST,5,0.654
32768,random,AVL,5,0.329
32768,random,Array,5,28.384
32768,sorted,AVL,5,1.085
32768,sorted,Array,5,0.381
32768,random,BST,6,0.452
32768,random,AVL,6,0.475
32768,random,Array,6,29.359
32768,sorted,AVL,6,0.670
32768,sorted,Array,6,0.403
32768,random,BST,7,0.761
32768,random,AVL,7,0.516
32768,random,Array,7,43.339
32768,sorted,AVL,7,1.447
32768,sorted,Array,7,0.990
32768,random,BST,8,1.322
32768,random,AVL,8,0.354
32768,random,Array,8,29.127
32768,sorted,AVL,8,1.257
32768,sorted,Array,8,0.412
32768,random,BST,9,0.427
32768,random,AVL,9,0.273
32768,random,Array,9,23.657
32768,sorted,AVL,9,0.396
32768,sorted,Array,9,0.340
32768,random,BST,10,0.443
32768,random,AVL,10,0.371
32768,random,Array,10,26.350
32768,sorted,AVL,10,0.595
32768,sorted,Array,10,0.347
65536,random,BST,1,0.908
65536,random,AVL,1,0.433
65536,random,Array,1,77.178
65536,sorted,AVL,1,0.569
65536,sorted,Array,1,0.388
65536,random,BST,2,2.326
65536,random,AVL,2,1.386
65536,random,Array,2,53.422
65536,sorted,AVL,2,0.817
65536,sorted,Array,2,0.641
65536,random,BST,3,0.550
65536,random,AVL,3,2.021
65536,random,Array,3,81.090
65536,sorted,AVL,3,0.615
65536,sorted,Array,3,0.385
65536,random,BST,4,0.526
65536,random,AVL,4,0.460
65536,random,Array,4,49.611
65536,sorted,AVL,4,0.749
65536,sorted,Array,4,0.613
65536,random,BST,5,0.606
65536,random,AVL,5,0.694
65536,random,Array,5,86.440
65536,sorted,AVL,5,0.653
65536,sorted,Array,5,0.385
65536,random,BST,6,0.485
65536,random,AVL,6,0.511
65536,random,Array,6,48.765
65536,sorted,AVL,6,0.666
65536,sorted,Array,6,0.390
65536,random,BST,7,0.528
65536,random,AVL,7,0.351
65536,random,Array,7,56.031
65536,sorted,AVL,7,0.613
65536,sorted,Array,7,0.384
65536,random,BST,8,1.477
65536,random,AVL,8,0.403
65536,random,Array,8,50.226
65536,sorted,AVL,8,0.746
65536,sorted,Array,8,0.382
65536,random,BST,9,0.460
65536,random,AVL,9,0.646
65536,random,Array,9,73.617
65536,sorted,AVL,9,0.714
65536,sorted,Array,9,0.510
65536,random,BST,10,0.549
65536,random,AVL,10,0.369
65536,random,Array,10,49.547
65536,sorted,AVL,10,0.424
65536,sorted,Array,10,0.356
131072,random,BST,1,1.306
131072,random,AVL,1,0.427
131072,random,Array,1,187.785
131072,sorted,AVL,1,0.683
131072,sorted,Array,1,0.552
131072,random,BST,2,1.233
131072,random,AVL,2,0.615
131072,random,Array,2,102.229
131072,sorted,AVL,2,1.184
131072,sorted,Array,2,0.580
131072,random,BST,3,1.870
131072,random,AVL,3,1.570
131072,random,Array,3,103.154
131072,sorted,AVL,3,0.870
131072,sorted,Array,3,0.459
131072,random,BST,4,0.700
131072,random,AVL,4,0.505
131072,random,Array,4,97.195
131072,sorted,AVL,4,0.904
131072,sorted,Array,4,0.469
131072,random,BST,5,1.180
131072,random,AVL,5,0.497
131072,random,Array,5,108.613
131072,sorted,AVL,5,0.711
131072,sorted,Array,5,0.411
131072,random,BST,6,0.637
131072,random,AVL,6,0.412
131072,random,Array,6,150.609
131072,sorted,AVL,6,0.578
131072,sorted,Array,6,0.503
