Size,DataType,Structure,Test,Time_us
16384,random,AVL,7,0.566
16384,sorted,AVL,7,0.670
16384,random,BST,8,0.512
16384,random,AVL,8,0.683
16384,sorted,AVL,8,0.565
16384,random,BST,9,0.341
16384,random,AVL,9,0.505
16384,sorted,AVL,9,0.589
16384,random,BST,10,0.403
16384,random,AVL,10,0.769
16384,sorted,AVL,10,0.603
32768,random,BST,1,0.607
32768,random,AVL,1,0.625
32768,sorted,AVL,1,0.543
32768,random,BST,2,0.484
32768,random,AVL,2,1.139
32768,sorted,AVL,2,1.799
32768,random,BST,3,0.440
32768,random,AVL,3,0.793
32768,sorted,AVL,3,0.831
32768,random,BST,4,0.427
32768,random,AVL,4,0.628
32768,sorted,AVL,4,2.610
32768,random,BST,5,0.491
32768,random,AVL,5,0.565
32768,sorted,AVL,5,1.363
32768,random,BST,6,0.464
32768,random,AVL,6,0.908
32768,sorted,AVL,6,0.739
32768,random,BST,7,1.008
32768,random,AVL,7,1.553
32768,sorted,AVL,7,2.053
32768,random,BST,8,2.391
32768,random,AVL,8,0.632
32768,sorted,AVL,8,0.708
32768,random,BST,9,0.439
32768,random,AVL,9,0.504
32768,sorted,AVL,9,0.533
32768,random,BST,10,0.479
32768,random,AVL,10,0.607
32768,sorted,AVL,10,0.712
65536,random,BST,1,0.865
65536,random,AVL,1,0.727
65536,sorted,AVL,1,0.733
65536,random,BST,2,4.591
65536,random,AVL,2,4.706
65536,sorted,AVL,2,1.053
65536,random,BST,3,0.555
65536,random,AVL,3,3.811
65536,sorted,AVL,3,0.711
65536,random,BST,4,0.509
65536,random,AVL,4,0.805
65536,sorted,AVL,4,0.900
65536,random,BST,5,0.559
65536,random,AVL,5,1.069
65536,sorted,AVL,5,0.712
65536,random,BST,6,0.461
65536,random,AVL,6,0.782
65536,sorted,AVL,6,0.677
65536,random,BST,7,0.504
65536,random,AVL,7,0.579
65536,sorted,AVL,7,0.695
65536,random,BST,8,2.177
65536,random,AVL,8,0.700
65536,sorted,AVL,8,0.727
65536,random,BST,9,1.039
65536,random,AVL,9,6.065
65536,sorted,AVL,9,0.868
65536,random,BST,10,0.567
65536,random,AVL,10,0.673
65536,sorted,AVL,10,0.516
131072,random,BST,1,1.356
131072,random,AVL,1,0.742
131072,sorted,AVL,1,0.991
131072,random,BST,2,1.524
131072,random,AVL,2,0.978
131072,sorted,AVL,2,1.092
131072,random,BST,3,1.858
131072,random,AVL,3,2.189
131072,sorted,AVL,3,0.857
131072,random,BST,4,0.753
131072,random,AVL,4,0.887
131072,sorted,AVL,4,0.871
131072,random,BST,5,1.252
131072,random,AVL,5,1.618
131072,sorted,AVL,5,0.739
131072,random,BST,6,0.605
131072,random,AVL,6,0.749
131072,sorted,AVL,6,0.717
131072,random,BST,7,0.595
131072,random,AVL,7,0.713
131072,sorted,AVL,7,2.071
131072,random,BST,8,12.285
131072,random,AVL,8,0.778
131072,sorted,AVL,8,1.422
131072,random,BST,9,0.639
131072,random,AVL,9,0.736
131072,sorted,AVL,9,1.555
131072,random,BST,10,2.100
131072,random,AVL,10,3.156
131072,sorted,AVL,10,0.736
262144,random,BST,1,1.596
262144,random,AVL,1,1.958
262144,sorted,AVL,1,0.868
262144,random,BST,2,1.815
262144,random,AVL,2,1.129
262144,sorted,AVL,2,1.484
262144,random,BST,3,2.335
262144,random,AVL,3,1.991
262144,sorted,AVL,3,1.815
262144,random,BST,4,0.773
262144,random,AVL,4,0.981
262144,sorted,AVL,4,0.904
262144,random,BST,5,2.117
262144,random,AVL,5,1.781
262144,sorted,AVL,5,5.217
262144,random,BST,6,0.860
262144,random,AVL,6,1.496
262144,sorted,AVL,6,1.816
262144,random,BST,7,1.354
262144,random,AVL,7,1.220
262144,sorted,AVL,7,1.260
262144,random,BST,8,2.704
262144,random,AVL,8,4.800
262144,sorted,AVL,8,0.947
262144,random,BST,9,3.523
262144,random,AVL,9,2.164
262144,sorted,AVL,9,1.834
262144,random,BST,10,0.948
262144,random,AVL,10,1.861
262144,sorted,AVL,10,1.198
524288,random,BST,1,2.110
524288,random,AVL,1,1.447
524288,sorted,AVL,1,2.368
