N,MinCalls,MaxCalls,AvgCalls
1000,1999,1999,1999.00
2000,3999,3999,3999.00
4000,7999,7999,7999.00
8000,15999,15999,15999.00
16000,31999,31999,31999.00
32000,63999,63999,63999.00
64000,127999,127999,127999.00
128000,255999,255999,255999.00
