N,MinTime_ms,MaxTime_ms,AvgTime_ms
1000,0.144,2.726,0.425
2000,0.301,0.511,0.379
4000,0.634,1.196,0.868
8000,1.358,3.648,1.761
16000,2.950,4.567,3.772
32000,6.226,8.353,6.924
64000,12.987,21.150,14.898
128000,27.518,73.105,31.671
