N,MinSwaps,MaxSwaps,AvgSwaps
1000,2279,2370,2333.70
2000,5033,5245,5142.15
4000,10939,11269,11126.25
8000,23589,24490,24054.25
16000,50933,52394,51702.75
32000,109499,112640,111402.95
64000,234239,239192,237451.35
128000,499633,507425,504073.65
