N,Test,Time_ms
1000,1,2.270
1000,2,1.236
1000,3,0.948
1000,4,0.198
1000,5,0.200
1000,6,0.224
1000,7,0.204
1000,8,0.203
1000,9,0.219
1000,10,0.311
1000,11,0.155
1000,12,0.144
1000,13,0.141
1000,14,0.142
1000,15,0.150
1000,16,0.302
1000,17,0.145
1000,18,0.148
1000,19,0.145
1000,20,0.212
2000,1,0.299
2000,2,0.320
2000,3,0.302
2000,4,0.302
2000,5,0.296
2000,6,0.346
2000,7,0.295
2000,8,0.291
2000,9,0.292
2000,10,0.297
2000,11,0.292
2000,12,0.289
2000,13,0.292
2000,14,0.296
2000,15,0.290
2000,16,0.288
2000,17,0.286
2000,18,0.281
2000,19,0.311
2000,20,0.365
4000,1,0.602
4000,2,0.630
4000,3,0.853
4000,4,0.617
4000,5,0.616
4000,6,0.721
4000,7,0.614
4000,8,0.612
4000,9,0.700
4000,10,0.619
4000,11,0.601
4000,12,0.664
4000,13,0.725
4000,14,0.629
4000,15,0.655
4000,16,0.703
4000,17,0.648
4000,18,0.615
4000,19,0.755
4000,20,0.641
8000,1,1.339
8000,2,1.306
8000,3,1.425
8000,4,1.399
8000,5,1.304
8000,6,1.322
8000,7,1.441
8000,8,1.319
8000,9,1.327
8000,10,1.462
8000,11,1.445
8000,12,1.294
8000,13,1.275
8000,14,1.390
8000,15,1.273
8000,16,1.394
8000,17,1.512
8000,18,1.443
8000,19,1.300
8000,20,1.320
16000,1,2.842
16000,2,3.333
16000,3,2.928
16000,4,3.012
16000,5,3.033
16000,6,2.900
16000,7,3.529
16000,8,2.989
16000,9,3.427
16000,10,3.048
16000,11,3.005
16000,12,2.797
16000,13,2.870
16000,14,3.376
16000,15,3.216
16000,16,2.973
16000,17,3.055
16000,18,4.091
16000,19,5.759
16000,20,4.856
32000,1,10.221
32000,2,8.228
32000,3,6.519
32000,4,7.668
32000,5,6.098
32000,6,6.084
32000,7,6.268
32000,8,7.353
32000,9,6.378
32000,10,6.771
32000,11,6.407
32000,12,7.338
32000,13,6.562
32000,14,6.855
32000,15,6.097
32000,16,5.998
32000,17,6.015
32000,18,6.441
32000,19,6.374
32000,20,6.406
64000,1,12.782
64000,2,12.624
64000,3,12.462
64000,4,17.039
64000,5,15.776
64000,6,12.672
64000,7,13.105
64000,8,12.723
64000,9,12.490
64000,10,12.280
64000,11,12.458
64000,12,13.035
64000,13,13.247
64000,14,13.269
64000,15,14.433
64000,16,14.184
64000,17,13.686
64000,18,12.317
64000,19,13.324
64000,20,12.616
128000,1,27.687
128000,2,26.803
128000,3,26.241
128000,4,26.114
128000,5,27.050
128000,6,27.955
128000,7,26.978
128000,8,26.485
128000,9,26.506
128000,10,29.779
128000,11,26.079
128000,12,25.810
128000,13,26.096
128000,14,26.264
128000,15,26.825
128000,16,55.864
128000,17,27.616
128000,18,26.934
128000,19,26.657
128000,20,27.452
