N,MinDepth,MaxDepth,AvgDepth
1000,19,26,22.05
2000,22,29,24.30
4000,25,33,28.45
8000,28,35,31.00
16000,31,39,34.25
32000,32,40,35.75
64000,35,42,39.25
128000,39,47,41.70
